회사,,,,위험성 평가표,,,,,,안전관리자,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
생성날짜,2026-08-03,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
카테고리,위험도,점검이름,,구역,점검일시,,담당자,내용,,조치 전 사진,,조치이름,,구역,점검일시,,담당자,,내용,,조치 후 사진,,승인자,타입
피난통로 적치,HIGH,피난통로 적치물 정기 점검,,2층 A구역,2026-07-01 09:00:00,,김안전,피난통로에 적치물이 없으며 비상구 접근 상태가 양호함.,,,,,,,,,,,,,,,,inspection
보호구 미착용,MEDIUM,상하차장 보호구 착용 점검,,1층 상하차장,2026-07-02 10:30:00,,이현장,작업자 전원이 안전모 및 안전화를 착용하였음을 확인함.,,,,,,,,,,,,,,,,inspection
전기실 주변 적치,CRITICAL,전기실 화재위험 점검,,지하 전기실,2026-07-03 14:00:00,,김안전,분전반 주변에 이물질이 없으며 소화기 압력이 정상임.,,,,,,,,,,,,,,,,inspection
지게차 동선 침범,HIGH,지게차 동선 안전 점검,,3층 포장라인,2026-07-04 11:20:00,,박점검,보행자 통로와 지게차 이동 동선이 분리되어 양호한 상태임.,,,,,,,,,,,,,,,,inspection
바닥 장애물 방치,LOW,바닥 장애물 정리 점검,,1층 출고 대기구역,2026-07-05 16:10:00,,이현장,출고 대기구역 바닥에 장애물이 없으며 통행로가 확보되어 있음.,,,,,,,,,,,,,,,,inspection
피난통로 적치,HIGH,피난통로 적치물 정기 점검,,2층 A구역,2026-07-06 09:00:00,,김안전,피난통로에 박스 적치가 확인되어 조치가 필요함.,,,,피난통로 적치물 제거,,2층 A구역,2026-07-06 10:10:00,,이현장,,박스 6개를 이동하여 보관하고 피난통로 폭을 확보하였음.,,,,박승인,조치이력
보호구 미착용,MEDIUM,상하차장 보호구 착용 점검,,1층 상하차장,2026-07-07 08:40:00,,박점검,일부 작업자가 안전모를 미착용한 것이 확인됨.,,,,보호구 착용 안내,,1층 상하차장,2026-07-07 09:05:00,,이현장,,작업자에게 안전모 착용을 안내하고 현장을 재확인하였음.,,,,박승인,조치이력
전기실 주변 적치,CRITICAL,전기실 화재위험 점검,,지하 전기실,2026-07-08 13:30:00,,김안전,분전반 앞에 청소도구가 방치된 것이 확인됨.,,,,전기실 주변 정리,,지하 전기실,2026-07-08 14:00:00,,최시설,,청소도구를 지정 보관함으로 이동하고 접근 공간을 확보하였음.,,,,박승인,조치이력
지게차 동선 침범,HIGH,지게차 동선 안전 점검,,3층 포장라인,2026-07-09 15:20:00,,박점검,보행자 통로 일부에 팔레트가 방치된 것이 확인됨.,,,,팔레트 이동 조치,,3층 포장라인,2026-07-09 15:45:00,,이현장,,팔레트를 적재 구역으로 이동하여 보행 통로를 재확보하였음.,,,,정승인,조치이력
바닥 장애물 방치,LOW,바닥 장애물 정리 점검,,1층 출고 대기구역,2026-07-10 17:00:00,,이현장,랩핑 필름 잔재가 통로에 남아 있음.,,,,바닥 장애물 제거,,1층 출고 대기구역,2026-07-10 17:15:00,,한정리,,필름 잔재를 수거하고 통로를 청소하였음.,,,,정승인,조치이력
피난통로 적치,HIGH,,,,,,,,,https://example.com/board/3001.jpg,,신고 적치물 정리,,2층 A구역,2026-07-11 11:20:00,,이현장,,게시판 신고 건을 확인한 후 적치물을 지정 장소로 이동하였음.,,,,박승인,board
보호구 미착용,MEDIUM,,,,,,,,,https://example.com/board/3002.jpg,,보호구 착용 현장 계도,,1층 상하차장,2026-07-12 13:10:00,,박점검,,신고 위치 작업자에게 보호구 착용 기준을 안내하였음.,,,,정승인,board
지게차 동선 침범,HIGH,,,,,,,,,https://example.com/board/3003.jpg,,동선 침범 물품 이동,,3층 포장라인,2026-07-13 10:30:00,,이현장,,보행 동선에 놓인 적재물을 후방 보관 구역으로 이동하였음.,,,,박승인,board
전기실 주변 적치,CRITICAL,,,,,,,,,https://example.com/board/3004.jpg,,전기실 신고 건 정리,,지하 전기실,2026-07-14 16:00:00,,최시설,,전기실 출입문 앞 물품을 제거하고 출입 통제선을 정비하였음.,,,,박승인,board
바닥 장애물 방치,LOW,,,,,,,,,https://example.com/board/3005.jpg,,신고 장애물 제거,,1층 출고 대기구역,2026-07-15 09:25:00,,한정리,,바닥에 방치된 박스 끈과 완충재를 수거하고 통로를 청소하였음.,,,,정승인,board
피난통로 적치,HIGH,,,,,,,,,https://example.com/evidence/evt-001.jpg,,CCTV 감지 적치물 제거,,2층 A구역,2026-07-16 09:45:00,,이현장,,CCTV 이벤트를 확인한 후 피난통로 박스 적치물을 제거하였음.,,,,박승인,event
보호구 미착용,MEDIUM,,,,,,,,,https://example.com/evidence/evt-002.jpg,,CCTV 감지 보호구 안내,,1층 상하차장,2026-07-17 14:20:00,,박점검,,미착용 작업자에게 안전모 착용을 안내하고 재발 방지 교육을 실시하였음.,,,,정승인,event
지게차 동선 침범,HIGH,,,,,,,,,https://example.com/evidence/evt-003.jpg,,CCTV 감지 동선 정리,,3층 포장라인,2026-07-18 10:15:00,,이현장,,지게차 동선 침범 적재물을 이동하고 바닥 유도선을 재확인하였음.,,,,박승인,event
전기실 주변 적치,CRITICAL,,,,,,,,,https://example.com/evidence/evt-004.jpg,,CCTV 감지 전기실 정리,,지하 전기실,2026-07-19 15:50:00,,최시설,,전기실 주변 적치물을 제거하고 통제 구역 표식을 보강하였음.,,,,박승인,event
바닥 장애물 방치,LOW,,,,,,,,,https://example.com/evidence/evt-005.jpg,,CCTV 감지 장애물 제거,,1층 출고 대기구역,2026-07-20 12:35:00,,한정리,,통로에 방치된 완충재와 박스 조각을 수거하였음.,,,,정승인,event
